2017-09-16 08:10:32 <sync> info : [config] nas:00-11-32-6F-28-C9, mid:99164, build new group, executor:99164
2017-09-16 08:32:03 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 08:41:28 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 08:48:47 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 08:52:14 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 15:20:07 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 15:21:29 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 15:22:40 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 16:11:50 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 16:12:56 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 16:13:21 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 16:15:41 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 16:20:57 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
2017-09-16 22:02:16 <sync> debug : [config] nas:00-11-32-6F-28-C9, mid:99164, sync config not change
